"CITY","EARLY_CUSTOMERS_COUNT"
SAMSUN,150
ARTVİN,146
MUŞ,145
BARTIN,143
SİVAS,142
ORDU,141
ESKİŞEHİR,136
BİNGÖL,136
ADIYAMAN,136
DÜZCE,136
ANTALYA,135
KIRŞEHİR,135
RİZE,134
ÇANAKKALE,134
BİTLİS,133
İSTANBUL,132
AKSARAY,132
SİNOP,132
AMASYA,132
ÇORUM,132
ERZİNCAN,131
IĞDIR,131
ARDAHAN,130
BURDUR,130
ERZURUM,130
VAN,129
ŞANLIURFA,128
EDİRNE,128
TUNCELİ,127
BALIKESİR,126
YALOVA,125
KİLİS,125
MARDİN,125
GAZİANTEP,125
AYDIN,125
YOZGAT,124
KARAMAN,124
HAKKARİ,124
DENİZLİ,124
TOKAT,123
BATMAN,122
ISPARTA,122
SAKARYA,122
MERSİN,122
MANİSA,121
UŞAK,121
MUĞLA,120
ANKARA,120
BOLU,120
KOCAELİ,119
ELAZIĞ,119
GİRESUN,119
KIRIKKALE,119
TEKİRDAĞ,119
KÜTAHYA,119
NEVŞEHİR,118
KARS,118
ŞIRNAK,117
BURSA,117
TRABZON,117
AĞRI,117
ADANA,117
KAHRAMANMARAŞ,117
SİİRT,116
KARABÜK,114
GÜMÜŞHANE,114
KIRKLARELİ,113
ZONGULDAK,113
DİYARBAKIR,112
AFYONKARAHİSAR,112
HATAY,112
KASTAMONU,112
İZMİR,112
KAYSERİ,110
NİĞDE,110
OSMANİYE,107
KONYA,107
ÇANKIRI,106
BİLECİK,104
MALATYA,104
BAYBURT,104
